"yearNumber","Time","dcAnnualHealthUS","dcOUDNoTxExcess","dcOUDTxExcess","dcMethadone","dcBuprenorphine","dcNaltrexone","dcOverdoseNonfatal","dcOverdoseFatal","dcNetProductivity","dcCM","dcTherapy","dcHubSpoke","dcED","dcTH","nRun"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,5449.88572290233,5612.56310963262,17645.3438638391,4005.51098307263,3264.98750374064,706354.835196714,3155.58337010742,4923.19973267528,28060.4940769789,568.958966840735,0,"504"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5291.15118728381,5449.09039770157,17131.4018095525,3888.84561463362,3169.89078033072,685781.393394868,3063.67317486157,4779.80556570415,27243.1981329892,552.387346447316,0,"504"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,5137.03998765419,5290.37902689473,16632.4289413131,3775.57826663458,3077.56386439876,665807.17805327,2974.43997559376,4640.58792786811,26449.7069252322,536.298394609045,0,"504"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,4987.41746374193,5136.29031737352,16147.9892634108,3665.60996760639,2987.92608194054,646414.735974049,2887.80580154734,4505.42517268749,25679.327111876,520.67805301849,0,"504"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,4842.15287741935,4986.68962851798,15677.6594790396,3558.84462874406,2900.89910868014,627587.122304901,2803.69495295858,4374.19919678397,24931.3855455106,505.512672833485,0,"504"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,4701.11929846539,4841.44624127959,15221.0286204268,3455.18895994569,2816.4069016312,609307.885732914,2722.03393491124,4246.79533668346,24205.2286849618,490.789002750957,0,"504"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,4564.19349365572,4700.43324396077,14777.6976897347,3354.55238829679,2734.37563265165,591561.054109625,2642.75139311771,4123.10226862472,23500.2220242347,476.494177428113,0,"504"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4431.25581908322,4563.52742132114,14347.2793104221,3256.84697892892,2654.73362393364,574331.120494782,2565.77805157059,4003.01191128614,22815.749538092,462.615706240887,0,"504"
0,2021,6520,7598,6078,6206.47437578975,8041.05991150718,12242.1815244092,4376.93,3567.74,771853,0,0,0,0,0,"505"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,6025.70327746578,7806.85428301668,11885.6131304944,4249.44660194175,3463.82524271845,749371.844660194,946.465452513537,1797.97901314288,12542.7196395017,181.933425298648,0,"505"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,5850.19735676289,7579.4701776861,11539.430223781,4125.6763125648,3362.93712885286,727545.480252616,1837.79699517192,3491.22138474347,24354.7954165081,353.268786987666,0,"505"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,5679.8032589931,7358.70891037485,11203.3303143504,4005.51098307263,3264.98750374064,706354.835196714,2676.40339102706,5084.30298749048,35468.1486648177,514.469107263591,0,"505"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5514.3720961098,7144.37758288821,10877.0197226703,3888.84561463362,3169.89078033072,685781.393394868,2598.44989420103,4936.21649270921,34435.0957910851,499.484570158826,0,"505"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,5353.75931661146,6936.28891542544,10560.2133229809,3775.57826663458,3077.56386439876,665807.17805327,2522.76688757382,4792.44319680505,33432.1318360049,484.936475882355,0,"505"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,5197.82457923443,6734.26108293732,10252.6342941562,3665.60996760639,2987.92608194054,646414.735974049,2449.28824036293,4652.85747262627,32458.3804233058,470.812112507141,0,"505"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,5046.43163032469,6538.11755624983,9954.01387782157,3558.84462874406,2900.89910868014,627587.122304901,2377.94974792517,4517.33735206434,31512.9907022386,457.099138356448,0,"505"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,4899.44818478125,6347.68694781537,9664.09114351609,3455.18895994569,2816.4069016312,609307.885732914,2308.68907565551,4385.76441947994,30595.1366041152,443.785571219852,0,"505"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,4756.74581046723,6162.80286195667,9382.61276069523,3354.55238829679,2734.37563265165,591561.054109625,2241.44570451991,4258.02370823295,29704.0161205001,430.859777883351,0,"505"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,4618.1998159876,5983.30374947249,9109.33277737401,3256.84697892892,2654.73362393364,574331.120494782,2176.16087817467,4134.00360022616,28838.8506024273,418.310463964419,0,"505"
0,2021,6520,7598,6078,7785.55772519251,4990.43169843499,14918.8243163694,4376.93,3567.74,771853,0,0,0,0,0,"506"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,7558.7939079539,4845.07931886892,14484.2954527858,4249.44660194175,3463.82524271845,749371.844660194,1105.80484225666,1534.98916109514,11115.4391173918,219.587905406536,0,"506"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,7338.63486209116,4703.96050375623,14062.4227696949,4125.6763125648,3362.93712885286,727545.480252616,2147.19386845954,2980.56147785465,21583.3769269743,426.384282342788,0,"506"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,7124.88821562249,4566.9519453944,13652.8376404805,4005.51098307263,3264.98750374064,706354.835196714,3126.98136183428,4340.62351143881,31432.1023208363,620.947983994352,0,"506"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,6917.36719963348,4433.93392756738,13255.1821752238,3888.84561463362,3169.89078033072,685781.393394868,3035.90423479057,4214.19758392118,30516.6041949867,602.862120382866,0,"506"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,6715.89048508105,4304.7902209392,12869.1089079843,3775.57826663458,3077.56386439876,665807.17805327,2947.47983960249,4091.45396497202,29627.7710630939,585.303029497928,0,"506"
